country,production,consumption
Saint Lucia,0,0.006
Saint Pierre and Miquelon,0,0.001
Saint Vincent and the Grenadines,0,0.003
Samoa,0.001,0.002
Sao Tome and Principe,0,0.002
Saudi Arabia,27.588,10.316
Senegal,0.005,0.102
Serbia,0.358,0.358
Seychelles,0,0.014
Sierra Leone,0.002,0.002
Singapore,0.013,3.302
Slovakia,0.253,0.678
Slovenia,0.15,0.281
Solomon Islands,0,0.003
Somalia,0,0.012
South Africa,5.293,5.5
Spain,1.667,5.586
Sri Lanka,0.046,0.286
Sudan,0.565,0.302
Suriname,0.048,0.049
Swaziland,0.008,0.019
Sweden,1.447,2.107
Switzerland,0.668,1.244
Syria,0.275,0.55
Taiwan,0.509,0.509
Tajikistan,0.16,0.191
Tanzania,0.047,0.168
Thailand,2.64,5.145
Timor-Leste,0.144,0.006
Togo,0.001,0.034
Tonga,0,0.003
Trinidad and Tobago,1.784,1.026
Tunisia,0.178,0.357
Turkey,1.097,5.183
Turkmenistan,3.373,1.39
Turks and Caicos Islands,0,0.003
Uganda,0.019,0.074
Ukraine,2.767,4.162
United Arab Emirates,9.024,4.079
UK,4.63,8.016
USA,82.019,98.301
Uruguay,0.111,0.231
Uzbekistan,2.546,1.983
Vanuatu,0,0.002
Venezuela,7.597,3.294
Vietnam,2.258,2.258
U.S. Virgin Islands,0,0.224
Wake Island,0,0.019
Western Sahara,0,0.004
Yemen,0.617,0.302
Zambia,0.136,0.172
Zimbabwe,0.175,0.159
